Probe,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25
cg_1,0.921,0.941,0.9521,0.9549,0.916,0.933,0.939,0.9065,0.8687,0.9032,0.9332,0.9202,0.9285,0.9322,0.9099,0.8989,0.9305,0.9198,0.9389,0.9436,0.948,0.9266,0.9555,0.9497,0.9389
cg_2,0.0604,0.0467,0.0523,0.0435,0.055,0.0546,0.0488,0.063,0.0427,0.0459,0.0496,0.0597,0.0638,0.0649,0.0562,0.0496,0.0629,0.0902,0.0777,0.0513,0.0385,0.0577,0.056,0.045,0.0452
cg_3,0.7576,0.7279,0.7216,0.7746,0.5195,0.6078,0.6635,0.701,0.8076,0.7796,0.854,0.7303,0.8133,0.8181,0.8003,0.6792,0.7933,0.8133,0.8027,0.7338,0.7896,0.7235,0.7358,0.8099,0.7366
cg_4,0.8899,0.9082,0.8777,0.8703,0.8341,0.8572,0.8799,0.8326,0.7437,0.8095,0.7202,0.7123,0.6909,0.7261,0.6428,0.7266,0.7329,0.6559,0.7073,0.8943,0.8783,0.9132,0.8924,0.8576,0.9082
cg_5,0.0385,0.0337,0.0422,0.0458,0.052,0.0506,0.0408,0.0362,0.0331,0.0449,0.0735,0.0511,0.0514,0.0529,0.0691,0.0833,0.0571,0.0593,0.0529,0.0394,0.0465,0.0308,0.0386,0.0484,0.0464
cg_6,0.87,0.8871,0.9043,0.9265,0.9175,0.8694,0.9122,0.9421,0.9241,0.9122,0.8527,0.8646,0.9133,0.9364,0.9321,0.9171,0.7548,0.9313,0.9137,0.8744,0.8268,0.8905,0.8356,0.875,0.8052
cg_7,0.0418,0.0521,0.0333,0.0451,0.0396,0.0368,0.0411,0.0371,0.0229,0.0251,0.0435,0.0389,0.0417,0.0564,0.0628,0.0238,0.0835,0.0575,0.0447,0.0408,0.0613,0.0321,0.0443,0.0499,0.0358
cg_8,0.9758,0.984,0.9836,0.9848,0.9835,0.9853,0.9854,0.9831,0.9876,0.9865,0.9763,0.9858,0.9833,0.9834,0.9767,0.9868,0.985,0.9847,0.9758,0.9021,0.986,0.978,0.9867,0.9722,0.9795
cg_9,0.9588,0.9728,0.9511,0.9829,0.983,0.9796,0.9366,0.9803,0.9804,0.9683,0.9649,0.9671,0.9676,0.9788,0.9573,0.9604,0.9458,0.8644,0.9794,0.9832,0.87,0.8646,0.6063,0.958,0.9773
cg_10,0.0116,0.0149,0.0116,0.0128,0.0124,0.0115,0.0135,0.0109,0.0102,0.0114,0.0211,0.0189,0.0217,0.0207,0.025,0.0118,0.0148,0.0233,0.0221,0.0106,0.0123,0.01,0.0096,0.012,0.0088
cg_11,0.6563,0.7449,0.5951,0.7384,0.6781,0.5419,0.6919,0.6324,0.5015,0.5385,0.8031,0.7917,0.7519,0.7865,0.7668,0.5969,0.769,0.7479,0.849,0.5843,0.7577,0.7249,0.6543,0.7119,0.6472
